epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2986,0.97604,2.36582,3.87249,1.19036,0,0.00333,1,0.02387,0.02042,0.00333,1,0.027,0.02236,0.53094,0.81218,3.10672,0.84717,0,2e-05,2e-05,2e-05
2,24.3862,0.77561,1.74427,3.2386,0.99929,0,0.00333,1,0.04869,0.03896,0.00333,1,0.04794,0.04224,0.43883,0.68399,3.08127,0.81839,0,5.92575e-05,5.92575e-05,5.92575e-05
3,36.6347,0.74614,1.41399,3.18333,0.98036,0,0.00333,1,0.14569,0.12917,0.00333,1,0.15465,0.1319,0.34355,0.55492,3.05064,0.79987,0,9.7525e-05,9.7525e-05,9.7525e-05
4,48.4482,0.50709,0.74443,3.11272,0.92217,0,0.00333,1,0.18452,0.16004,0.00333,1,0.18637,0.16892,0.37287,0.52024,3.0493,0.79886,0,0.000134803,0.000134803,0.000134803
5,60.5953,0.5025,0.70819,2.95443,0.93406,0,0.00333,1,0.19814,0.1717,0.00333,1,0.19814,0.17697,0.40739,0.50584,3.06001,0.8002,0,0.00017109,0.00017109,0.00017109
6,72.636,0.51128,0.54127,2.73363,0.84932,0,0.00333,1,0.20017,0.17931,0.00333,1,0.20017,0.17968,0.40876,0.56061,3.08407,0.80208,0,0.000206388,0.000206388,0.000206388
7,84.6043,0.64806,0.61068,2.83878,0.9221,0,0.00333,1,0.17878,0.14824,0.00333,1,0.17982,0.15699,0.45314,0.57824,3.09676,0.80952,0,0.000240695,0.000240695,0.000240695
8,96.7607,0.67592,0.77947,2.76753,0.88692,0,0.00333,1,0.18485,0.15448,0.00333,1,0.18562,0.16008,0.43931,0.55042,3.08556,0.80572,0,0.000274012,0.000274012,0.000274012
9,108.79,0.56474,0.417,2.71224,0.84875,0,0.00333,1,0.20263,0.17263,0.00333,1,0.20263,0.18291,0.48533,0.54041,3.08085,0.8114,0,0.00030634,0.00030634,0.00030634
10,120.689,0.62145,0.55171,2.41462,0.90139,0,0.00333,1,0.21584,0.18897,0.00333,1,0.21584,0.19814,0.47713,0.50785,3.07615,0.80434,0,0.000337677,0.000337677,0.000337677
11,132.957,0.6366,0.40502,2.54132,0.87403,0,0.00333,1,0.22607,0.19853,0.00333,1,0.22607,0.20476,0.42642,0.5183,3.03732,0.79666,0,0.000368025,0.000368025,0.000368025
12,144.906,0.61388,0.47676,2.3178,0.85055,0,0.00333,1,0.22503,0.20051,0.00333,1,0.22503,0.20539,0.3898,0.52521,3.01941,0.79044,0,0.000397383,0.000397383,0.000397383
13,157,0.60549,0.62047,2.56743,0.90908,0,0.00333,1,0.21904,0.19014,0.00333,1,0.21904,0.20632,0.46974,0.4833,3.0469,0.79623,0,0.00042575,0.00042575,0.00042575
14,169.1,0.60293,0.44152,2.31057,0.89194,0,0.00333,1,0.21612,0.18374,0.00333,1,0.21612,0.19803,0.49415,0.51681,3.0581,0.80523,0,0.000453128,0.000453128,0.000453128
15,181.031,0.54106,0.38414,2.43505,0.84456,0,0.00333,1,0.21965,0.19086,0.00333,1,0.21965,0.20122,0.51322,0.61364,3.04287,0.80782,0,0.000479515,0.000479515,0.000479515
16,193.069,0.64975,0.4763,2.36244,0.87418,0,0.00333,1,0.21622,0.18666,0.00333,1,0.21622,0.19841,0.52261,0.62953,3.02582,0.80658,0,0.000504913,0.000504913,0.000504913
17,205.029,0.59943,0.48864,2.59347,0.88183,0,0.00333,1,0.21998,0.17984,0.00333,1,0.21998,0.19241,0.55417,0.66764,3.0743,0.83406,0,0.00052932,0.00052932,0.00052932
18,217.166,0.62259,0.52148,2.38601,0.849,0,0.00333,1,0.22468,0.18454,0.00333,1,0.22472,0.20056,0.60188,0.816,3.08848,0.87566,0,0.000552738,0.000552738,0.000552738
19,229.647,0.54608,0.45655,2.27232,0.8571,0,0.00333,1,0.21788,0.18185,0.00333,1,0.21788,0.1945,0.64144,0.86933,3.1033,0.88376,0,0.000575165,0.000575165,0.000575165
20,242.258,0.62285,0.5355,2.49789,0.86533,0,0.00333,1,0.20027,0.16589,0.00333,1,0.20027,0.17624,0.60801,0.99062,3.0632,0.84428,0,0.000596603,0.000596603,0.000596603
21,254.96,0.61696,0.42508,2.35233,0.90548,0,0.00333,1,0.19789,0.16393,0.00333,1,0.19789,0.17492,0.55767,0.85035,3.03906,0.82826,0,0.00061705,0.00061705,0.00061705
22,267.379,0.67381,0.45662,2.37565,0.84476,0,0.00333,1,0.2192,0.18259,0.00333,1,0.2192,0.18721,0.57463,0.72247,3.01725,0.84011,0,0.000636507,0.000636507,0.000636507
23,279.584,0.57321,0.38681,2.2798,0.88139,0,0.00333,1,0.20877,0.16082,0.00333,1,0.20877,0.18321,0.62715,0.69522,3.0619,0.85635,0,0.000654975,0.000654975,0.000654975
24,291.479,0.58343,0.41557,2.50254,0.92694,0,0.00333,1,0.20537,0.1662,0.00333,1,0.20537,0.17747,0.63957,0.85679,3.08877,0.86632,0,0.000672452,0.000672452,0.000672452
25,304.286,0.68777,0.43707,2.22349,0.87141,0,0.00333,1,0.21358,0.17763,0.00333,1,0.21358,0.18579,0.57652,1.00353,3.03874,0.8525,0,0.00068894,0.00068894,0.00068894
26,316.615,0.67294,0.45511,2.41685,0.88048,0,0.00333,1,0.23322,0.20056,0.00333,1,0.23322,0.19737,0.52776,0.91183,2.96242,0.83103,0,0.000704437,0.000704437,0.000704437
27,328.961,0.62619,0.43573,2.13216,0.84235,0,0.00333,1,0.2205,0.18889,0.00333,1,0.2205,0.19239,0.53067,0.72495,2.93596,0.82553,0,0.000718945,0.000718945,0.000718945
28,341.465,0.65607,0.40888,2.1097,0.87456,0,0.00333,1,0.2205,0.18889,0.00333,1,0.2205,0.19239,0.53067,0.72495,2.93596,0.82553,0,0.000732463,0.000732463,0.000732463
29,353.797,0.60192,0.3956,2.22066,0.88525,0,0.00333,1,0.23123,0.19544,0.00333,1,0.23123,0.20961,0.58502,0.59022,2.93273,0.84074,0,0.00074499,0.00074499,0.00074499
30,366.249,0.66236,0.4037,2.08813,0.88205,0,0.00333,1,0.22462,0.18326,0.00333,1,0.22462,0.19363,0.62995,0.6723,2.93372,0.85561,0,0.000756527,0.000756527,0.000756527
31,379.043,0.61126,0.56872,2.23643,0.88969,0,0.00333,1,0.22462,0.18326,0.00333,1,0.22462,0.19363,0.62995,0.6723,2.93372,0.85561,0,0.000767075,0.000767075,0.000767075
32,391.418,0.65176,0.49775,2.20646,0.89048,0,0.00333,1,0.22095,0.18357,0.00333,1,0.22095,0.1904,0.61105,0.68865,2.91229,0.84221,0,0.000776633,0.000776633,0.000776633
33,404.301,0.64574,0.63094,2.16474,0.86067,0,0.00333,1,0.21577,0.18176,0.00333,1,0.21577,0.19889,0.62477,0.45885,2.888,0.83785,0,0.0007852,0.0007852,0.0007852
34,417.432,0.58424,0.47621,2.03378,0.88417,0,0.00333,1,0.21577,0.18176,0.00333,1,0.21577,0.19889,0.62477,0.45885,2.888,0.83785,0,0.000792777,0.000792777,0.000792777
35,430.014,0.66744,0.50074,2.22837,0.90068,0,0.00596,1,0.22116,0.17527,0.00596,1,0.22116,0.20973,0.62193,0.36245,2.86523,0.82556,0,0.000799365,0.000799365,0.000799365
36,442.886,0.60739,0.45946,2.10238,0.84776,0,0.15452,1,0.21909,0.17608,0.15452,1,0.21909,0.19832,0.62308,0.45647,2.82482,0.82802,0,0.000804962,0.000804962,0.000804962
37,455.683,0.52645,0.35943,2.12229,0.84387,0,0.15452,1,0.21909,0.17608,0.15452,1,0.21909,0.19832,0.62308,0.45647,2.82482,0.82802,0,0.00080957,0.00080957,0.00080957
38,468.383,0.55009,0.38525,1.99329,0.86983,0,0.199,0.96,0.22066,0.18054,0.199,0.96,0.22066,0.18062,0.58431,0.66503,2.77624,0.83012,0,0.000813187,0.000813187,0.000813187
39,480.866,0.65805,0.44989,2.28496,0.8981,0,0.19862,0.92,0.22038,0.18254,0.19862,0.92,0.22038,0.1742,0.58045,0.83854,2.76097,0.83293,0,0.000815815,0.000815815,0.000815815
40,493.05,0.62433,0.59145,2.20377,0.90527,0,0.19862,0.92,0.22038,0.18254,0.19862,0.92,0.22038,0.1742,0.58045,0.83854,2.76097,0.83293,0,0.000817452,0.000817452,0.000817452
41,505.326,0.67864,0.48475,2.19585,0.90964,0,0.19864,0.92,0.23945,0.19105,0.19864,0.92,0.23945,0.19688,0.64654,0.82003,2.77605,0.85417,0,0.0008181,0.0008181,0.0008181
42,517.564,0.61922,0.45813,2.12144,0.85929,0,0.20328,0.65327,0.24046,0.20379,0.20328,0.65327,0.24046,0.21609,0.65183,0.46161,2.75843,0.86081,0,0.000817758,0.000817758,0.000817758
43,529.949,0.62169,0.41124,2.00347,0.91043,0,0.20328,0.65327,0.24046,0.20379,0.20328,0.65327,0.24046,0.21609,0.65183,0.46161,2.75843,0.86081,0,0.000816425,0.000816425,0.000816425
44,542.35,0.60765,0.48168,2.20749,0.8851,0,0.19193,0.48,0.24365,0.2142,0.19193,0.48,0.24365,0.22476,0.59887,0.3491,2.70794,0.8451,0,0.000814102,0.000814102,0.000814102
45,554.781,0.53074,0.38514,2.09674,0.86301,0,0.19193,0.48,0.24365,0.2142,0.19193,0.48,0.24365,0.22476,0.59887,0.3491,2.70794,0.8451,0,0.00081079,0.00081079,0.00081079
